*20230331_GV005.csv
"ISSUE STORE","ISSUE DATE","VOUCHER NUMBER","VOUCHER AMOUNT","REDEEM STORE","EXPIRY DATE","BATCH NUMBER","ACTION"
146,25/04/2024,100000079998,50,,10000001,,
353,25/04/2024,100000079999,10,,10000001,,
185,25/04/2024,100000080000,20,,10000001,185,
310,25/04/2024,100000080001,10,,10000001,,
430,25/04/2024,100000080002,20,,10000001,,
430,25/04/2024,100000080003,10,,10000001,,
431,25/04/2024,100000080004,50,,10000001,,
353,25/04/2024,100000080005,10,,10000001,353,
273,25/04/2024,100000080006,10,,10000001,,
285,25/04/2024,100000080007,10,,10000001,,
433,25/04/2024,100000080008,50,,10000001,433,
284,25/04/2024,100000080009,10,,10000001,284,
431,25/04/2024,100000080010,20,,10000001,,
137,25/04/2024,100000080011,50,,10000001,137,
133,25/04/2024,100000080012,20,,10000001,133,
433,25/04/2024,100000080013,10,,10000001,433,
352,25/04/2024,100000080014,50,,10000001,352,
371,25/04/2024,100000080015,20,,10000001,,
231,25/04/2024,100000080016,20,,10000001,231,
381,25/04/2024,100000080017,20,,10000001,381,
272,25/04/2024,100000080018,20,,10000001,272,
353,25/04/2024,100000080019,20,,10000001,,
352,25/04/2024,100000080020,50,,10000001,352,
141,25/04/2024,100000080021,10,,10000001,141,
430,25/04/2024,100000080022,50,,10000001,,
143,25/04/2024,100000080023,20,,10000001,,
136,25/04/2024,100000080024,10,,10000001,136,
352,25/04/2024,100000080025,20,,10000001,352,
381,25/04/2024,100000080026,50,,10000001,,
410,25/04/2024,100000080027,20,,10000001,,
185,25/04/2024,100000080028,10,,10000001,,
185,25/04/2024,100000080029,20,,10000001,185,
310,25/04/2024,100000080030,10,,10000001,,
272,25/04/2024,100000080031,50,,10000001,,
285,25/04/2024,100000080032,10,,10000001,285,
310,25/04/2024,100000080033,50,,10000001,,
133,25/04/2024,100000080034,10,,10000001,133,
126,25/04/2024,100000080035,20,,10000001,126,
185,25/04/2024,100000080036,50,,10000001,,
273,25/04/2024,100000080037,20,,10000001,,
273,25/04/2024,100000080038,10,,10000001,273,
131,25/04/2024,100000080039,20,,10000001,131,
433,25/04/2024,100000080040,50,,10000001,,
353,25/04/2024,100000080041,10,,10000001,353,
431,25/04/2024,100000080042,50,,10000001,431,
375,25/04/2024,100000080043,10,,10000001,375,
310,25/04/2024,100000080044,20,,10000001,310,
272,25/04/2024,100000080045,50,,10000001,272,
210,25/04/2024,100000080046,10,,10000001,,
433,25/04/2024,100000080047,20,,10000001,,
131,25/04/2024,100000080048,20,,10000001,,
352,25/04/2024,100000080049,10,,10000001,352,
131,25/04/2024,100000080050,10,,10000001,131,
310,25/04/2024,100000080051,50,,10000001,310,
136,25/04/2024,100000080052,50,,10000001,136,
410,25/04/2024,100000080053,20,,10000001,410,
136,25/04/2024,100000080054,50,,10000001,,
127,25/04/2024,100000080055,20,,10000001,127,
185,25/04/2024,100000080056,50,,10000001,185,
231,25/04/2024,100000080057,50,,10000001,231,
126,25/04/2024,100000080058,50,,10000001,,
126,25/04/2024,100000080059,10,,10000001,,
431,25/04/2024,100000080060,10,,10000001,431,
126,25/04/2024,100000080061,50,,10000001,126,
141,25/04/2024,100000080062,10,,10000001,,
275,25/04/2024,100000080063,10,,10000001,275,
374,25/04/2024,100000080064,50,,10000001,,
410,25/04/2024,100000080065,50,,10000001,410,
273,25/04/2024,100000080066,20,,10000001,273,
410,25/04/2024,100000080067,20,,10000001,,
381,25/04/2024,100000080068,20,,10000001,381,
285,25/04/2024,100000080069,50,,10000001,,
182,25/04/2024,100000080070,50,,10000001,182,
371,25/04/2024,100000080071,50,,10000001,,
430,25/04/2024,100000080072,20,,10000001,430,
146,25/04/2024,100000080073,50,,10000001,146,
126,25/04/2024,100000080074,10,,10000001,126,
352,25/04/2024,100000080075,50,,10000001,352,
369,25/04/2024,100000080076,50,,10000001,369,
231,25/04/2024,100000080077,10,,10000001,231,
272,25/04/2024,100000080078,50,,10000001,,
132,25/04/2024,100000080079,20,,10000001,132,
371,25/04/2024,100000080080,20,,10000001,,
371,25/04/2024,100000080081,50,,10000001,,
272,25/04/2024,100000080082,20,,10000001,,
141,25/04/2024,100000080083,20,,10000001,,
373,25/04/2024,100000080084,20,,10000001,373,
276,25/04/2024,100000080085,20,,10000001,276,
375,25/04/2024,100000080086,20,,10000001,375,
381,25/04/2024,100000080087,50,,10000001,,
136,25/04/2024,100000080088,20,,10000001,,
131,25/04/2024,100000080089,50,,10000001,,
273,25/04/2024,100000080090,20,,10000001,273,
146,25/04/2024,100000080091,10,,10000001,,
374,25/04/2024,100000080092,50,,10000001,,
352,25/04/2024,100000080093,10,,10000001,,
126,25/04/2024,100000080094,10,,10000001,126,
430,25/04/2024,100000080095,20,,10000001,430,
127,25/04/2024,100000080096,20,,10000001,127,
353,25/04/2024,100000080097,50,,10000001,353,
131,25/04/2024,100000080098,50,,10000001,,
182,25/04/2024,100000080099,10,,10000001,182,
137,25/04/2024,100000080100,10,,10000001,137,
310,25/04/2024,100000080101,10,,10000001,,
310,25/04/2024,100000080102,20,,10000001,,
185,25/04/2024,100000080103,20,,10000001,185,
141,25/04/2024,100000080104,10,,10000001,,
410,25/04/2024,100000080105,50,,10000001,,
133,25/04/2024,100000080106,10,,10000001,,
210,25/04/2024,100000080107,50,,10000001,,
284,25/04/2024,100000080108,50,,10000001,,
276,25/04/2024,100000080109,50,,10000001,276,
126,25/04/2024,100000080110,20,,10000001,,
373,25/04/2024,100000080111,10,,10000001,,
126,25/04/2024,100000080112,50,,10000001,126,
131,25/04/2024,100000080113,10,,10000001,,
