*20221031_GV002.csv
"ISSUE STORE","ISSUE DATE","VOUCHER NUMBER","VOUCHER AMOUNT","EXPIRY DATE","ACTION"
001,01/09/22,1236016770500,50,31/08/24,,
001,01/09/22,1236016780509,50,31/08/24,,
001,01/09/22,1236016790508,50,31/08/24,,
001,01/09/22,1236016800504,50,31/08/24,,
001,01/09/22,1236016810503,50,31/08/24,,
001,01/09/22,1236016820502,50,31/08/24,,
001,01/09/22,1236016830501,50,31/08/24,,
001,01/09/22,1236016840500,50,31/08/24,,
001,01/09/22,1236016850509,50,31/08/24,,
001,01/09/22,1236016860508,50,31/08/24,,
001,01/09/22,1236016870507,50,31/08/24,,
001,01/09/22,1236016880506,50,31/08/24,,
001,01/09/22,1236016890505,50,31/08/24,,
001,01/09/22,1236016900501,50,31/08/24,,
001,01/09/22,1236016910500,50,31/08/24,,
001,01/09/22,1236016920509,50,31/08/24,,
001,01/09/22,1236016930508,50,31/08/24,,
001,01/09/22,1236016940507,50,31/08/24,,
001,01/09/22,1236016950506,50,31/08/24,,
001,01/09/22,1236016960505,50,31/08/24,,
001,01/09/22,1289693760104,10,31/08/24,,
001,01/09/22,1289693770103,10,31/08/24,,
001,01/09/22,1289693780102,10,31/08/24,,
001,01/09/22,1289693790101,10,31/08/24,,
001,01/09/22,1289693800107,10,31/08/24,,
001,01/09/22,1289693810106,10,31/08/24,,
001,01/09/22,1289693820105,10,31/08/24,,
001,01/09/22,1289693830104,10,31/08/24,,
*28
