*20230331_GV005.csv
"ISSUE STORE","ISSUE DATE","VOUCHER NUMBER","VOUCHER AMOUNT","EXPIRY DATE","BATCH NUMBER","ACTION"
132,30/01/24,514732116700,20,,1234567891234567,
132,30/01/24,514732116701,20,,1234567891234567,
132,30/01/24,514732116702,20,,1234567891234567,
132,30/01/24,514732116703,20,,1234567891234567,
132,30/01/24,514732116704,20,,1234567891234567,
132,30/01/24,514732116705,20,,1234567891234567,
132,30/01/24,514732116706,20,,1234567891234567,
132,30/01/24,514732116707,20,,1234567891234567,
132,30/01/24,514732116708,20,,1234567891234567,
132,30/01/24,514732116709,20,,1234567891234567,
132,30/01/24,514732116710,20,,1234567891234567,
132,30/01/24,514732116711,20,,1234567891234567,
132,30/01/24,514732116712,20,,1234567891234567,
132,30/01/24,514732116713,20,,1234567891234567,

*1


             

