*20230331_GV005.csv
"ISSUE STORE","ISSUE DATE","VOUCHER NUMBER","VOUCHER AMOUNT","REDEEM STORE","EXPIRY DATE","BATCH NUMBER","ACTION"
127,15/05/24,100014524338,10,,,00001,
127,15/05/24,100014524339,10,,,00001,
127,15/05/24,100014524340,10,,,00001,
127,15/05/24,100014524341,10,,,00001,
127,15/05/24,100014524342,10,,,00001,
127,15/05/24,100014524343,10,,,00001,
127,15/05/24,100014524344,10,,,00001,
127,15/05/24,100014524345,10,,,00001,
127,15/05/24,100014524346,10,,,00001,
127,15/05/24,100014524347,10,,,00001,


*1


             

