*20230331_GV005.csv
ISSUE STORE,ISSUE DATE,VOUCHER NUMBER,VOUCHER AMOUNT,EXPIRY DATE,BATCH NUMBER,REDEEM STORE,ACTION
273,25/04/2024,100000000001,20,,10000001,,
210,25/04/2024,100000000002,50,,10000001,210,
185,25/04/2024,100000000003,10,,10000001,,
369,25/04/2024,100000000004,20,,10000001,369,
373,25/04/2024,100000000005,10,,10000001,,
410,25/04/2024,100000000006,10,,10000001,410,
381,25/04/2024,100000000007,50,,10000001,381,
373,25/04/2024,100000000008,50,,10000001,,
143,25/04/2024,100000000009,20,,10000001,143,
126,25/04/2024,100000000010,50,,10000001,126,
275,25/04/2024,100000000011,10,,10000001,275,
131,25/04/2024,100000000012,10,,10000001,131,
352,25/04/2024,100000000013,50,,10000001,,
146,25/04/2024,100000000014,50,,10000001,,
275,25/04/2024,100000000015,10,,10000001,,
369,25/04/2024,100000000016,50,,10000001,369,
433,25/04/2024,100000000017,20,,10000001,433,
272,25/04/2024,100000000018,10,,10000001,272,
430,25/04/2024,100000000019,10,,10000001,430,
231,25/04/2024,100000000020,50,,10000001,,
373,25/04/2024,100000000021,20,,10000001,373,
185,25/04/2024,100000000022,20,,10000001,185,
133,25/04/2024,100000000023,10,,10000001,133,
369,25/04/2024,100000000024,20,,10000001,,
430,25/04/2024,100000000025,20,,10000001,,
430,25/04/2024,100000000026,20,,10000001,430,
410,25/04/2024,100000000027,10,,10000001,410,
272,25/04/2024,100000000028,50,,10000001,,
433,25/04/2024,100000000029,50,,10000001,433,
275,25/04/2024,100000000030,50,,10000001,275,
352,25/04/2024,100000000031,20,,10000001,,
430,25/04/2024,100000000032,10,,10000001,,
430,25/04/2024,100000000033,20,,10000001,,
127,25/04/2024,100000000034,50,,10000001,127,
141,25/04/2024,100000000035,50,,10000001,141,
353,25/04/2024,100000000036,10,,10000001,,
430,25/04/2024,100000000037,50,,10000001,,
431,25/04/2024,100000000038,50,,10000001,,
430,25/04/2024,100000000039,10,,10000001,430,
410,25/04/2024,100000000040,20,,10000001,,
182,25/04/2024,100000000041,50,,10000001,182,
231,25/04/2024,100000000042,50,,10000001,,
210,25/04/2024,100000000043,50,,10000001,,
431,25/04/2024,100000000044,10,,10000001,,
352,25/04/2024,100000000045,10,,10000001,,
374,25/04/2024,100000000046,50,,10000001,,
353,25/04/2024,100000000047,10,,10000001,,
143,25/04/2024,100000000048,10,,10000001,143,
431,25/04/2024,100000000049,10,,10000001,431,
410,25/04/2024,100000000050,10,,10000001,,
126,25/04/2024,100000000051,50,,10000001,,
131,25/04/2024,100000000052,20,,10000001,131,
131,25/04/2024,100000000053,20,,10000001,131,
374,25/04/2024,100000000054,50,,10000001,374,
285,25/04/2024,100000000055,20,,10000001,285,
431,25/04/2024,100000000056,10,,10000001,,
284,25/04/2024,100000000057,10,,10000001,,
285,25/04/2024,100000000058,10,,10000001,,
131,25/04/2024,100000000059,50,,10000001,,
185,25/04/2024,100000000060,50,,10000001,,
126,25/04/2024,100000000061,50,,10000001,,
272,25/04/2024,100000000062,20,,10000001,,
381,25/04/2024,100000000063,10,,10000001,,
182,25/04/2024,100000000064,20,,10000001,,
231,25/04/2024,100000000065,20,,10000001,,
371,25/04/2024,100000000066,10,,10000001,,
381,25/04/2024,100000000067,20,,10000001,,
375,25/04/2024,100000000068,10,,10000001,375,
143,25/04/2024,100000000069,10,,10000001,,
141,25/04/2024,100000000070,20,,10000001,,
132,25/04/2024,100000000071,10,,10000001,132,
374,25/04/2024,100000000072,50,,10000001,,
210,25/04/2024,100000000073,10,,10000001,,
431,25/04/2024,100000000074,50,,10000001,431,
431,25/04/2024,100000000075,20,,10000001,431,
285,25/04/2024,100000000076,20,,10000001,,
433,25/04/2024,100000000077,20,,10000001,,
353,25/04/2024,100000000078,20,,10000001,353,
284,25/04/2024,100000000079,20,,10000001,284,
131,25/04/2024,100000000080,10,,10000001,131,
137,25/04/2024,100000000081,20,,10000001,137,
133,25/04/2024,100000000082,10,,10000001,,
126,25/04/2024,100000000083,20,,10000001,126,
276,25/04/2024,100000000084,10,,10000001,,
284,25/04/2024,100000000085,20,,10000001,,
369,25/04/2024,100000000086,10,,10000001,,
182,25/04/2024,100000000087,50,,10000001,182,
275,25/04/2024,100000000088,50,,10000001,,
275,25/04/2024,100000000089,20,,10000001,,
285,25/04/2024,100000000090,10,,10000001,285,
272,25/04/2024,100000000091,10,,10000001,272,
185,25/04/2024,100000000092,10,,10000001,,
374,25/04/2024,100000000093,20,,10000001,,
132,25/04/2024,100000000094,50,,10000001,132,
136,25/04/2024,100000000095,50,,10000001,,
410,25/04/2024,100000000096,10,,10000001,,
143,25/04/2024,100000000097,50,,10000001,143,
136,25/04/2024,100000000098,10,,10000001,136,
141,25/04/2024,100000000099,10,,10000001,141,
371,25/04/2024,100000000100,50,,10000001,371,
136,25/04/2024,100000000101,10,,10000001,,

*1


             

