*20230331_GV005.csv
"ISSUE STORE","ISSUE DATE","VOUCHER NUMBER","VOUCHER AMOUNT","REDEEM STORE","EXPIRY DATE","BATCH NUMBER","ACTION"
410,24/05/2024,110000022999,50,,,10000001,
131,24/05/2024,110000023000,10,,,10000001,
126,24/05/2024,110000023001,50,999,,10000001,
231,24/05/2024,110000023002,50,,,10000001,
146,24/05/2024,110000023003,50,146,,10000001,
433,24/05/2024,110000023004,10,433,,10000001,
231,24/05/2024,110000023005,50,231,,10000001,
353,24/05/2024,110000023006,50,353,,10000001,
410,24/05/2024,110000023007,20,,,10000001,
133,24/05/2024,110000023008,10,133,,10000001,
285,24/05/2024,110000023009,50,285,,10000001,
371,24/05/2024,110000023010,20,,,10000001,
143,24/05/2024,110000023011,20,143,,10000001,
126,24/05/2024,110000023012,10,,,10000001,
182,24/05/2024,110000023013,10,,,10000001,
374,24/05/2024,110000023014,50,374,,10000001,
132,24/05/2024,110000023015,20,132,,10000001,
275,24/05/2024,110000023016,20,,,10000001,
133,24/05/2024,110000023017,20,133,,10000001,
431,24/05/2024,110000023018,20,,,10000001,
371,24/05/2024,110000023019,20,,,10000001,
375,24/05/2024,110000023020,20,375,,10000001,
182,24/05/2024,110000023021,20,182,,10000001,
272,24/05/2024,110000023022,20,272,,10000001,
210,24/05/2024,110000023023,50,,,10000001,
137,24/05/2024,110000023024,20,,,10000001,
284,24/05/2024,110000023025,20,284,,10000001,
369,24/05/2024,110000023026,10,369,,10000001,
310,24/05/2024,110000023027,10,,,10000001,
310,24/05/2024,110000023028,50,,,10000001,
141,24/05/2024,110000023029,10,,,10000001,
431,24/05/2024,110000023030,20,,,10000001,
371,24/05/2024,110000023031,50,,,10000001,
231,24/05/2024,110000023032,20,231,,10000001,
133,24/05/2024,110000023033,50,,,10000001,
276,24/05/2024,110000023034,50,276,,10000001,
433,24/05/2024,110000023035,20,433,,10000001,
433,24/05/2024,110000023036,50,433,,10000001,
371,24/05/2024,110000023037,50,,,10000001,
353,24/05/2024,110000023038,10,,,10000001,
231,24/05/2024,110000023039,50,231,,10000001,
353,24/05/2024,110000023040,10,353,,10000001,
185,24/05/2024,110000023041,20,,,10000001,
276,24/05/2024,110000023042,10,,,10000001,
276,24/05/2024,110000023043,20,,,10000001,
210,24/05/2024,110000023044,20,210,,10000001,
371,24/05/2024,110000023045,10,,,10000001,
132,24/05/2024,110000023046,50,132,,10000001,
373,24/05/2024,110000023047,10,373,,10000001,
310,24/05/2024,110000023048,50,310,,10000001,
182,24/05/2024,110000023049,10,182,,10000001,
143,24/05/2024,110000023050,50,143,,10000001,
210,24/05/2024,110000023051,20,,,10000001,
131,24/05/2024,110000023052,10,131,,10000001,
185,24/05/2024,110000023053,10,185,,10000001,
131,24/05/2024,110000023054,10,131,,10000001,
136,24/05/2024,110000023055,20,136,,10000001,
433,24/05/2024,110000023056,50,433,,10000001,
373,24/05/2024,110000023057,10,,,10000001,
352,24/05/2024,110000023058,50,352,,10000001,
146,24/05/2024,110000023059,20,,,10000001,
433,24/05/2024,110000023060,20,,,10000001,
433,24/05/2024,110000023061,10,,,10000001,
276,24/05/2024,110000023062,20,,,10000001,
185,24/05/2024,110000023063,20,,,10000001,
143,24/05/2024,110000023064,20,,,10000001,
275,24/05/2024,110000023065,50,275,,10000001,
410,24/05/2024,110000023066,10,410,,10000001,
276,24/05/2024,110000023067,10,276,,10000001,
369,24/05/2024,110000023068,10,369,,10000001,
353,24/05/2024,110000023069,50,,,10000001,
373,24/05/2024,110000023070,20,373,,10000001,
132,24/05/2024,110000023071,20,,,10000001,
231,24/05/2024,110000023072,20,,,10000001,
275,24/05/2024,110000023073,10,,,10000001,
310,24/05/2024,110000023074,50,,,10000001,
430,24/05/2024,110000023075,50,,,10000001,
133,24/05/2024,110000023076,20,,,10000001,
371,24/05/2024,110000023077,10,,,10000001,
410,24/05/2024,110000023078,10,410,,10000001,
381,24/05/2024,110000023079,10,,,10000001,
275,24/05/2024,110000023080,10,,,10000001,
381,24/05/2024,110000023081,50,381,,10000001,
136,24/05/2024,110000023082,20,,,10000001,
375,24/05/2024,110000023083,50,,,10000001,
182,24/05/2024,110000023084,20,,,10000001,
126,24/05/2024,110000023085,20,126,,10000001,
133,24/05/2024,110000023086,50,,,10000001,
284,24/05/2024,110000023087,50,284,,10000001,
273,24/05/2024,110000023088,20,,,10000001,
146,24/05/2024,110000023089,20,146,,10000001,
373,24/05/2024,110000023090,50,373,,10000001,
185,24/05/2024,110000023091,20,185,,10000001,
127,24/05/2024,110000023092,10,127,,10000001,
430,24/05/2024,110000023093,50,430,,10000001,
374,24/05/2024,110000023094,10,,,10000001,
231,24/05/2024,110000023095,10,231,,10000001,
141,24/05/2024,110000023096,50,,,10000001,
231,24/05/2024,110000023097,20,,,10000001,
410,24/05/2024,110000023098,50,,,10000001,
375,24/05/2024,110000023099,50,,,10000001,
185,24/05/2024,110000023100,10,185,,10000001,
146,24/05/2024,110000023101,10,146,,10000001,
430,24/05/2024,110000023102,10,,,10000001,
146,24/05/2024,110000023103,20,,,10000001,
430,24/05/2024,110000023104,50,,,10000001,
430,24/05/2024,110000023105,20,,,10000001,
231,24/05/2024,110000023106,50,231,,10000001,
143,24/05/2024,110000023107,20,,,10000001,
133,24/05/2024,110000023108,20,133,,10000001,
146,24/05/2024,110000023109,20,146,,10000001,
185,24/05/2024,110000023110,10,185,,10000001,
310,24/05/2024,110000023111,20,,,10000001,
373,24/05/2024,110000023112,50,373,,10000001,
182,24/05/2024,110000023113,10,,,10000001,
231,24/05/2024,110000023114,20,231,,10000001,
210,24/05/2024,110000023115,50,,,10000001,
310,24/05/2024,110000023116,50,,,10000001,
374,24/05/2024,110000023117,10,,,10000001,
133,24/05/2024,110000023118,50,,,10000001,
143,24/05/2024,110000023119,20,143,,10000001,
137,24/05/2024,110000023120,10,,,10000001,
381,24/05/2024,110000023121,20,,,10000001,
137,24/05/2024,110000023122,10,,,10000001,
141,24/05/2024,110000023123,50,,,10000001,
137,24/05/2024,110000023124,20,,,10000001,
185,24/05/2024,110000023125,10,,,10000001,
431,24/05/2024,110000023126,50,,,10000001,
231,24/05/2024,110000023127,50,231,,10000001,
410,24/05/2024,110000023128,20,410,,10000001,
430,24/05/2024,110000023129,10,430,,10000001,
127,24/05/2024,110000023130,20,127,,10000001,
433,24/05/2024,110000023131,20,433,,10000001,
374,24/05/2024,110000023132,50,374,,10000001,
182,24/05/2024,110000023133,10,182,,10000001,
126,24/05/2024,110000023134,20,,,10000001,
210,24/05/2024,110000023135,10,,,10000001,
430,24/05/2024,110000023136,10,,,10000001,
146,24/05/2024,110000023137,50,,,10000001,
210,24/05/2024,110000023138,10,,,10000001,
353,24/05/2024,110000023139,20,353,,10000001,
146,24/05/2024,110000023140,50,146,,10000001,
410,24/05/2024,110000023141,50,410,,10000001,
131,24/05/2024,110000023142,10,,,10000001,
352,24/05/2024,110000023143,50,352,,10000001,
381,24/05/2024,110000023144,20,381,,10000001,
182,24/05/2024,110000023145,20,,,10000001,
430,24/05/2024,110000023146,20,430,,10000001,
369,24/05/2024,110000023147,10,369,,10000001,
275,24/05/2024,110000023148,50,,,10000001,
276,24/05/2024,110000023149,10,276,,10000001,
310,24/05/2024,110000023150,50,,,10000001,
131,24/05/2024,110000023151,20,131,,10000001,
133,24/05/2024,110000023152,20,,,10000001,
369,24/05/2024,110000023153,50,,,10000001,
310,24/05/2024,110000023154,20,,,10000001,
410,24/05/2024,110000023155,10,410,,10000001,
133,24/05/2024,110000023156,10,,,10000001,
285,24/05/2024,110000023157,50,285,,10000001,
210,24/05/2024,110000023158,10,,,10000001,
310,24/05/2024,110000023159,10,,,10000001,
352,24/05/2024,110000023160,10,,,10000001,
275,24/05/2024,110000023161,10,,,10000001,
310,24/05/2024,110000023162,50,,,10000001,
273,24/05/2024,110000023163,20,,,10000001,
375,24/05/2024,110000023164,20,375,,10000001,
131,24/05/2024,110000023165,50,131,,10000001,
272,24/05/2024,110000023166,10,272,,10000001,
431,24/05/2024,110000023167,50,431,,10000001,
310,24/05/2024,110000023168,20,,,10000001,
310,24/05/2024,110000023169,20,,,10000001,
285,24/05/2024,110000023170,20,,,10000001,
131,24/05/2024,110000023171,20,,,10000001,
275,24/05/2024,110000023172,10,,,10000001,
369,24/05/2024,110000023173,10,,,10000001,
143,24/05/2024,110000023174,10,143,,10000001,
276,24/05/2024,110000023175,50,,,10000001,
141,24/05/2024,110000023176,10,,,10000001,
284,24/05/2024,110000023177,20,284,,10000001,
381,24/05/2024,110000023178,10,,,10000001,
285,24/05/2024,110000023179,50,,,10000001,
141,24/05/2024,110000023180,50,,,10000001,
371,24/05/2024,110000023181,20,,,10000001,
375,24/05/2024,110000023182,50,,,10000001,
275,24/05/2024,110000023183,10,275,,10000001,
381,24/05/2024,110000023184,50,381,,10000001,
275,24/05/2024,110000023185,10,275,,10000001,
210,24/05/2024,110000023186,50,210,,10000001,
141,24/05/2024,110000023187,20,141,,10000001,
136,24/05/2024,110000023188,50,136,,10000001,
182,24/05/2024,110000023189,50,,,10000001,
285,24/05/2024,110000023190,10,,,10000001,
146,24/05/2024,110000023191,50,,,10000001,
133,24/05/2024,110000023192,10,133,,10000001,
131,24/05/2024,110000023193,20,131,,10000001,
285,24/05/2024,110000023194,20,285,,10000001,
132,24/05/2024,110000023195,20,,,10000001,
430,24/05/2024,110000023196,10,430,,10000001,
143,24/05/2024,110000023197,20,,,10000001,
410,24/05/2024,110000023198,20,,,10000001,
141,24/05/2024,110000023199,10,,,10000001,
373,24/05/2024,110000023200,10,,,10000001,
352,24/05/2024,110000023201,10,352,,10000001,
431,24/05/2024,110000023202,50,431,,10000001,
410,24/05/2024,110000023203,50,,,10000001,
310,24/05/2024,110000023204,50,310,,10000001,
369,24/05/2024,110000023205,10,,,10000001,
131,24/05/2024,110000023206,10,131,,10000001,
136,24/05/2024,110000023207,20,136,,10000001,
352,24/05/2024,110000023208,10,,,10000001,
185,24/05/2024,110000023209,10,185,,10000001,
410,24/05/2024,110000023210,20,410,,10000001,
410,24/05/2024,110000023211,20,,,10000001,
433,24/05/2024,110000023212,10,,,10000001,
371,24/05/2024,110000023213,20,,,10000001,
374,24/05/2024,110000023214,20,,,10000001,
126,24/05/2024,110000023215,10,126,,10000001,
126,24/05/2024,110000023216,10,,,10000001,
231,24/05/2024,110000023217,20,231,,10000001,
136,24/05/2024,110000023218,10,,,10000001,
373,24/05/2024,110000023219,10,373,,10000001,
182,24/05/2024,110000023220,50,182,,10000001,
285,24/05/2024,110000023221,20,285,,10000001,
